Team,Wins,Losses,Total Tds,Turnovers,Yards/G,Yards Allowed/G,Points Scored/G,Points Allowed/G,Strength of Schedule,Adjusted_Strength
Seattle Seahawks,14,3,51,28,351.4,285.9,28.4,17.2,0.474,67.85
New England Patriots,14,3,58,16,379.4,295.2,28.8,18.8,0.429,66.72
Los Angeles Rams,12,5,65,15,394.6,327.5,30.5,20.4,0.491,66.1
Denver Broncos,14,3,45,17,342.6,278.2,23.6,18.3,0.505,64.5
Jacksonville Jaguars,13,4,55,18,337.4,303.6,27.9,19.8,0.467,62.14
Buffalo Bills,12,5,62,19,376.3,293.1,28.3,21.5,0.467,61.34
Houston Texans,12,5,38,12,327.0,277.2,23.8,17.4,0.481,59.96
Philadelphia Eagles,11,6,46,15,311.2,314.2,22.3,19.1,0.561,54.86
Detroit Lions,9,8,57,15,373.2,331.9,28.3,24.3,0.571,53.62
Chicago Bears,11,6,49,11,369.2,361.8,25.9,24.4,0.571,53.37
Los Angeles Chargers,11,6,36,21,333.8,285.2,21.6,20.0,0.522,52.48
San Francisco 49ers,12,5,49,22,351.4,340.2,25.7,21.8,0.415,51.64
Green Bay Packers,9,8,44,13,332.6,311.8,23.0,21.2,0.557,49.58
Pittsburgh Steelers,10,7,45,15,305.6,356.9,23.4,22.8,0.526,45.26
Indianapolis Colts,8,9,53,22,345.9,349.8,27.4,24.2,0.464,44.06
Minnesota Vikings,9,8,35,30,275.0,282.6,20.2,19.6,0.557,43.6
Baltimore Ravens,8,9,48,22,332.2,354.5,24.9,23.4,0.533,42.6
Kansas City Chiefs,6,11,38,15,320.6,301.5,21.3,19.3,0.522,42.01
Tampa Bay Buccaneers,8,9,41,16,320.4,337.2,22.4,24.2,0.481,38.79
Atlanta Falcons,8,9,37,18,333.0,326.6,20.8,23.6,0.478,38.42
Dallas Cowboys,7,10,51,21,391.9,377.0,27.7,30.1,0.557,37.21
Carolina Panthers,8,9,35,23,295.6,327.2,18.3,22.4,0.457,34.58
New Orleans Saints,6,11,31,24,313.6,299.8,18.0,22.5,0.419,31.87
Miami Dolphins,7,10,38,24,300.7,348.8,20.4,24.9,0.474,31.06
Cincinnati Bengals,6,11,49,24,329.2,380.9,24.4,28.9,0.509,28.82
New York Giants,4,13,45,17,333.5,359.5,22.4,25.8,0.574,28.4
Cleveland Browns,5,12,30,25,262.1,283.6,16.4,22.3,0.519,26.62
Washington Commanders,5,12,41,23,318.8,384.0,20.9,26.5,0.55,24.67
Arizona Cardinals,3,14,40,21,325.8,357.7,20.9,28.7,0.457,20.69
Tennessee Titans,3,14,28,19,259.6,345.1,16.7,28.1,0.45,14.42
Las Vegas Raiders,3,14,25,23,245.2,317.8,14.2,25.4,0.502,13.77
New York Jets,3,14,30,23,263.6,355.6,17.6,29.6,0.46,12.55
